tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,d1_ATP,d1_Date,d1_Series,d1_Court,d1_Surface,d1_Round,d1_Best of,d1_WRank,d1_LRank,d1_WPts,d1_LPts,d1_W1,d1_L1,d1_W2,d1_L2,d1_W3,d1_L3,d1_W4,d1_L4,d1_W5,d1_L5,d1_Wsets,d1_Lsets,d1_Comment,d1_B365W,d1_B365L,d1_PSW,d1_PSL,d1_MaxW,d1_MaxL,d1_AvgW,d1_AvgL
2023-2843,Adelaide 1,Hard,32,A,20230102,300,104925,1.0,,Novak Djokovic,R,188.0,SRB,35.6,200624,,,Sebastian Korda,R,196.0,USA,22.4,6-7(8) 7-6(3) 6-4,3,F,189.0,7.0,4.0,99.0,62.0,53.0,25.0,17.0,1.0,2.0,15.0,4.0,129.0,76.0,59.0,27.0,17.0,5.0,7.0,5.0,4820.0,33.0,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,299,104925,1.0,,Novak Djokovic,R,188.0,SRB,35.6,106421,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,6-3 6-4,3,SF,90.0,5.0,3.0,61.0,35.0,31.0,14.0,10.0,3.0,3.0,5.0,2.0,48.0,31.0,23.0,9.0,9.0,1.0,3.0,5.0,4820.0,7.0,4065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,298,200624,,,Sebastian Korda,R,196.0,USA,22.4,106415,,,Yoshihito Nishioka,L,170.0,JPN,27.2,7-6(5) 1-0 RET,3,SF,74.0,9.0,0.0,40.0,23.0,21.0,10.0,6.0,0.0,0.0,0.0,0.0,54.0,40.0,29.0,6.0,7.0,3.0,4.0,33.0,1175.0,36.0,1134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,297,104925,1.0,,Novak Djokovic,R,188.0,SRB,35.6,133430,7.0,,Denis Shapovalov,L,185.0,CAN,23.7,6-3 6-4,3,QF,115.0,4.0,3.0,70.0,40.0,31.0,16.0,10.0,3.0,4.0,6.0,7.0,72.0,38.0,25.0,14.0,9.0,5.0,8.0,5.0,4820.0,18.0,2075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,296,106421,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,111575,8.0,,Karen Khachanov,R,198.0,RUS,26.6,6-3 6-3,3,QF,77.0,6.0,5.0,51.0,33.0,29.0,7.0,9.0,2.0,3.0,1.0,2.0,60.0,42.0,25.0,6.0,9.0,3.0,7.0,7.0,4065.0,20.0,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,295,200624,,,Sebastian Korda,R,196.0,USA,22.4,206173,6.0,,Jannik Sinner,R,191.0,ITA,21.3,7-5 6-1,3,QF,86.0,5.0,1.0,52.0,30.0,25.0,12.0,9.0,3.0,4.0,8.0,3.0,53.0,34.0,23.0,6.0,10.0,4.0,9.0,33.0,1175.0,15.0,2410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,294,106415,,,Yoshihito Nishioka,L,170.0,JPN,27.2,200615,,Q,Alexei Popyrin,R,196.0,AUS,23.4,7-6(4) 6-7(8) 6-2,3,QF,166.0,2.0,1.0,106.0,75.0,57.0,19.0,16.0,2.0,4.0,27.0,4.0,103.0,68.0,56.0,12.0,16.0,6.0,10.0,36.0,1134.0,120.0,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,293,104925,1.0,,Novak Djokovic,R,188.0,SRB,35.6,111460,,,Quentin Halys,R,191.0,FRA,26.1,7-6(3) 7-6(5),3,R16,115.0,10.0,4.0,76.0,50.0,44.0,14.0,12.0,0.0,1.0,11.0,2.0,82.0,48.0,39.0,16.0,12.0,4.0,5.0,5.0,4820.0,64.0,767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,292,133430,7.0,,Denis Shapovalov,L,185.0,CAN,23.7,126128,,Q,Roman Safiullin,R,185.0,RUS,25.4,6-4 6-3,3,R16,81.0,7.0,2.0,44.0,25.0,21.0,13.0,9.0,0.0,1.0,3.0,3.0,70.0,45.0,29.0,11.0,10.0,7.0,11.0,18.0,2075.0,88.0,606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2843,Adelaide 1,Hard,32,A,20230102,291,106421,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,200175,,,Miomir Kecmanovic,R,183.0,SRB,23.3,6-0 6-3,3,R16,67.0,7.0,3.0,51.0,38.0,29.0,7.0,8.0,1.0,1.0,0.0,0.0,42.0,31.0,13.0,6.0,7.0,3.0,7.0,7.0,4065.0,29.0,1420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
